Claim,Item page URL,Status,Created by,Submitted at,Social Media Posted at,Report Published at,Number of media,Tags,Red Social,Formato,¿Ataca a un candidato?,¿A qué candidato?,¿Ataca al TSE o al proceso electoral?,¿Qué narrativa se utiliza para atacar al TSE o al proceso electoral?,Señale qué narrativa de desinformación se utiliza,¿Fue creado con IA?,¿Imita a un medio de comunicación?,¿A qué medio?,Es caso es:,¿Qué tipo de rumor es?,El rumor que se promueve es:,Reacciones,Comentarios,Compartidos,Visualizaciones
Es falso que CNN confirmó que las encuestas de Unitel y Red Uno no son válidas,https://checkmedia.org/chequeabolivia-verificaciones/media/3407734,False,Claudia Carol Flores Apaza,2025-08-15 03:53:08,,2025-08-15 17:27:57,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407670,SinEmpezar,Max Bruno Pérez Aliaga,2025-08-15 01:29:51,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407669,SinEmpezar,Max Bruno Pérez Aliaga,2025-08-15 01:27:05,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407665,SinEmpezar,Eyser Aspiazu,2025-08-15 01:21:41,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407661,SinEmpezar,Eyser Aspiazu,2025-08-15 01:19:40,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407658,SinEmpezar,Eyser Aspiazu,2025-08-15 01:18:04,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407657,SinEmpezar,Eyser Aspiazu,2025-08-15 01:16:39,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407654,SinEmpezar,Eyser Aspiazu,2025-08-15 01:15:06,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407652,SinEmpezar,Eyser Aspiazu,2025-08-15 01:12:33,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407634,SinEmpezar,Pablo Flores,2025-08-15 00:27:06,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407605,SinEmpezar,DAN L GUTIERREZ,2025-08-14 23:48:11,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407603,SinEmpezar,DAN L GUTIERREZ,2025-08-14 23:45:29,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407602,SinEmpezar,DAN L GUTIERREZ,2025-08-14 23:43:00,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407598,SinEmpezar,DAN L GUTIERREZ,2025-08-14 23:41:04,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407594,SinEmpezar,DAN L GUTIERREZ,2025-08-14 23:38:47,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407591,SinEmpezar,DAN L GUTIERREZ,2025-08-14 23:35:45,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407570,SinEmpezar,Marco Antonio Flores Pérez,2025-08-14 22:57:38,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407569,SinEmpezar,Marco Antonio Flores Pérez,2025-08-14 22:55:56,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407567,SinEmpezar,Marco Antonio Flores Pérez,2025-08-14 22:52:20,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407563,SinEmpezar,Marco Antonio Flores Pérez,2025-08-14 22:40:15,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407551,SinEmpezar,Andres Valencia,2025-08-14 22:06:03,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407548,SinEmpezar,Andres Valencia,2025-08-14 22:01:03,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407516,SinEmpezar,Patricia Alcoser Nuñez,2025-08-14 21:14:27,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407427,SinEmpezar,Lucas David Illanes Flores,2025-08-14 18:53:40,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,,Sí,Unitel,Desinformación,,,22600,790,3282,827900
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407259,SinEmpezar,davilamorelia02,2025-08-14 15:00:42,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,Fraude electoral (incluye manipulación de papeletas),No,No,,Desinformación,,,13,0,2,264
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407252,SinEmpezar,davilamorelia02,2025-08-14 14:51:30,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,Fraude electoral (incluye manipulación de papeletas),No,No,,Desinformación,,,4021,279,1268,69700
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407190,SinEmpezar,yirleyngabrielm,2025-08-14 13:49:37,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,,No,No,,Desinformación,,,10200,531,1025,843100
Caso 165 08/2025 Internet Starlink en cierre de campaña de Tuto.,https://checkmedia.org/chequeabolivia-verificaciones/media/3407168,Inchequeable,valoguz,2025-08-14 13:21:25,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,,7122,669,416,440400
Caso 164 08/2025 Samuel vs Samuel,https://checkmedia.org/chequeabolivia-verificaciones/media/3407167,Inchequeable,valoguz,2025-08-14 13:20:14,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de deseo,Ataques a candidatos,26500,1652,8345,429800
Caso 163 08/2025 Samuel vs Samuel,https://checkmedia.org/chequeabolivia-verificaciones/media/3407166,Inchequeable,valoguz,2025-08-14 13:18:36,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de deseo,Ataques a candidatos,5168,414,1716,114100
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407160,SinEmpezar,yirleyngabrielm,2025-08-14 13:16:50,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Ataques a candidatos,No,No,,Desinformación,,,6410,562,513,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3406203,In Progress,ronald bernal zurita,2025-08-13 14:18:56,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,No,,Desinformación,,,4453,1938,197,157400
,https://checkmedia.org/chequeabolivia-verificaciones/media/3406201,In Progress,ronald bernal zurita,2025-08-13 14:16:26,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,No,No,,Desinformación,,,17300,962,6435,341100
,https://checkmedia.org/chequeabolivia-verificaciones/media/3406200,SinEmpezar,davilamorelia02,2025-08-13 14:16:25,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,Ataques a candidatos,No,No,,Desinformación,,,415,107,229,16300
,https://checkmedia.org/chequeabolivia-verificaciones/media/3406198,False,ronald bernal zurita,2025-08-13 14:11:49,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,,No,Sí,Internacional,Desinformación,,,7957,1444,2195,263900
,https://checkmedia.org/chequeabolivia-verificaciones/media/3406193,In Progress,ronald bernal zurita,2025-08-13 14:08:40,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,Fraude electoral (incluye manipulación de papeletas),No,No,,Desinformación,,,3254,357,1973,47000
Caso 116 08/25 El candidato a la presidencia Samuel Doria planea cerrar Emapa,https://checkmedia.org/chequeabolivia-verificaciones/media/3406192,Inchequeable,ronald bernal zurita,2025-08-13 14:05:59,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,10700,6153,97,275600
,https://checkmedia.org/chequeabolivia-verificaciones/media/3406189,Engañoso,ronald bernal zurita,2025-08-13 14:03:26,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,No,,Desinformación,,,7439,860,1490,284100
Caso 161 08/2025 conteniido que promueve el voto nulo,https://checkmedia.org/chequeabolivia-verificaciones/media/3406188,Inchequeable,davilamorelia02,2025-08-13 14:02:04,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Promueve la campaña del voto nulo,3995,43,263,110100
Caso 160 08/2025 Andrónico graba video en en el condominio de Lineras en Madrid,https://checkmedia.org/chequeabolivia-verificaciones/media/3406181,Inchequeable,davilamorelia02,2025-08-13 13:59:22,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Andrónico Rodriguez,No,,Ataques a candidatos,No,No,,Desinformación,,,1573,17,302,38600
